sensor_id,sensor_name,sensor_unit,sensor_rate,data_id,timestamp,value
1,light,%,1,1,11/4/2011 0:05,93.6540821
2,humidity,%,1,2,11/5/2011 0:05,87.82815569
3,temp,F,1,3,11/6/2011 0:05,99.54086338
1,light,%,1,4,11/7/2011 0:05,73.90940575
2,humidity,%,1,5,11/8/2011 0:05,67.2972249
3,temp,F,1,6,11/9/2011 0:05,19.34752247
1,light,%,1,7,11/10/2011 0:05,18.38664024
2,humidity,%,1,8,11/11/2011 0:05,45.70792083
3,temp,F,1,9,11/12/2011 0:05,73.39732906
1,light,%,1,10,11/13/2011 0:05,65.27290473
2,humidity,%,1,11,11/14/2011 0:05,3.827083757
3,temp,F,1,12,11/15/2011 0:05,83.85738811
1,light,%,1,13,11/16/2011 0:05,91.78865588
2,humidity,%,1,14,11/17/2011 0:05,88.47299642
3,temp,F,1,15,11/18/2011 0:05,83.61907767
1,light,%,1,16,11/19/2011 0:05,34.61287772
2,humidity,%,1,17,11/20/2011 0:05,74.2409012
3,temp,F,1,18,11/21/2011 0:05,98.69665482
1,light,%,1,19,11/22/2011 0:05,91.14104593
2,humidity,%,1,20,11/23/2011 0:05,63.26971955
3,temp,F,1,21,11/24/2011 0:05,80.7339065
1,light,%,1,22,11/25/2011 0:05,86.22224411
2,humidity,%,1,23,11/26/2011 0:05,50.57255999
3,temp,F,1,24,11/27/2011 0:05,74.75944804
1,light,%,1,25,11/28/2011 0:05,84.82697978
2,humidity,%,1,26,11/29/2011 0:05,48.03176688
3,temp,F,1,27,11/30/2011 0:05,44.22464186
1,light,%,1,28,12/1/2011 0:05,50.91260247
2,humidity,%,1,29,12/2/2011 0:05,18.41701567
3,temp,F,1,30,12/3/2011 0:05,65.65369005
1,light,%,1,31,12/4/2011 0:05,99.55391417
2,humidity,%,1,32,12/5/2011 0:05,57.37808463
3,temp,F,1,33,12/6/2011 0:05,38.00591559
1,light,%,1,34,12/7/2011 0:05,18.88404497
2,humidity,%,1,35,12/8/2011 0:05,72.30563916
3,temp,F,1,36,12/9/2011 0:05,47.80531377
1,light,%,1,37,12/10/2011 0:05,90.42473233
2,humidity,%,1,38,12/11/2011 0:05,95.71187959
3,temp,F,1,39,12/12/2011 0:05,0.881255745
1,light,%,1,40,12/13/2011 0:05,85.81987766
2,humidity,%,1,41,12/14/2011 0:05,14.13944956
3,temp,F,1,42,12/15/2011 0:05,53.52535151
1,light,%,1,43,12/16/2011 0:05,39.92171977
2,humidity,%,1,44,12/17/2011 0:05,51.90356768
3,temp,F,1,45,12/18/2011 0:05,65.96279686
